episodes_trained,learning_method,player,avg_trajectory_value
10,MC,O,0.0037
10,MC,X,0.21672
10,Q-LearningO,0
10,Q-LearningX,0
20,MC,O,0.00356667
20,MC,X,0.220603
20,Q-LearningO,0
20,Q-LearningX,0
30,MC,O,-0.0289167
30,MC,X,0.478194
30,Q-LearningO,0
30,Q-LearningX,0
40,MC,O,-0.0916916
40,MC,X,0.580115
40,Q-LearningO,0
40,Q-LearningX,0
50,MC,O,-0.0283583
50,MC,X,0.402086
50,Q-LearningO,0
50,Q-LearningX,0
60,MC,O,-0.0160167
60,MC,X,0.542378
60,Q-LearningO,0
60,Q-LearningX,0
70,MC,O,-0.0297748
70,MC,X,0.67553
70,Q-LearningO,0
70,Q-LearningX,0
80,MC,O,-0.00421683
80,MC,X,0.867595
80,Q-LearningO,0.1125
80,Q-LearningX,0.00809999
90,MC,O,0.0094289
90,MC,X,0.973545
90,Q-LearningO,0.1125
90,Q-LearningX,0.01539
100,MC,O,-0.0153773
100,MC,X,0.989578
100,Q-LearningO,0.1125
100,Q-LearningX,0.021951
200,MC,O,0.0139354
200,MC,X,0.666218
200,Q-LearningO,0.0820125
200,Q-LearningX,0.0595104
300,MC,O,-0.0533524
300,MC,X,0.896004
300,Q-LearningO,0.0820125
300,Q-LearningX,0.0591937
400,MC,O,-0.025992
400,MC,X,1.15795
400,Q-LearningO,0.150912
400,Q-LearningX,0.100667
500,MC,O,-0.0796034
500,MC,X,1.11072
500,Q-LearningO,0.135821
500,Q-LearningX,0.0992149
600,MC,O,-0.32735
600,MC,X,1.50111
600,Q-LearningO,1.93817
600,Q-LearningX,0.186626
700,MC,O,-0.169877
700,MC,X,1.11757
700,Q-LearningO,1.49235
700,Q-LearningX,0.160153
800,MC,O,-0.247502
800,MC,X,1.13583
800,Q-LearningO,0.629609
800,Q-LearningX,2.03305
900,MC,O,-0.242629
900,MC,X,1.15898
900,Q-LearningO,0.769149
900,Q-LearningX,2.04883
1000,MC,O,-0.314488
1000,MC,X,1.25706
1000,Q-LearningO,0.769149
1000,Q-LearningX,2.11001
1100,MC,O,-0.0131598
1100,MC,X,1.55007
1100,Q-LearningO,0.62301
1100,Q-LearningX,2.08138
2000,MC,O,-0.527044
2000,MC,X,1.56964
2000,Q-LearningO,3.72434
2000,Q-LearningX,1.07932
3000,MC,O,-0.437869
3000,MC,X,1.86507
3000,Q-LearningO,3.20746
3000,Q-LearningX,1.02793
4000,MC,O,-0.392215
4000,MC,X,1.62654
4000,Q-LearningO,1.5379
4000,Q-LearningX,1.17636
5000,MC,O,-0.264249
5000,MC,X,2.02501
5000,Q-LearningO,5.92237
5000,Q-LearningX,2.269
6000,MC,O,-0.507429
6000,MC,X,2.76282
6000,Q-LearningO,3.9295
6000,Q-LearningX,2.49654
7000,MC,O,-0.486148
7000,MC,X,2.7143
7000,Q-LearningO,3.78764
7000,Q-LearningX,3.04782
8000,MC,O,-0.301179
8000,MC,X,2.71443
8000,Q-LearningO,5.70489
8000,Q-LearningX,2.00467
9000,MC,O,-1.10802
9000,MC,X,2.88979
9000,Q-LearningO,3.66345
9000,Q-LearningX,2.57515
10000,MC,O,0.239169
10000,MC,X,2.01754
10000,Q-LearningO,5.72428
10000,Q-LearningX,3.84808
11000,MC,O,-0.344087
11000,MC,X,2.53663
11000,Q-LearningO,4.61859
11000,Q-LearningX,4.17136
20000,MC,O,-1.32008
20000,MC,X,3.67078
20000,Q-LearningO,5.90708
20000,Q-LearningX,4.64623
30000,MC,O,-0.112337
30000,MC,X,3.11379
30000,Q-LearningO,4.22281
30000,Q-LearningX,3.21807
40000,MC,O,-0.849088
40000,MC,X,3.58406
40000,Q-LearningO,7.84535
40000,Q-LearningX,2.27441
50000,MC,O,-1.15798
50000,MC,X,4.14703
50000,Q-LearningO,5.09726
50000,Q-LearningX,4.64184
60000,MC,O,-0.103368
60000,MC,X,3.33792
60000,Q-LearningO,5.60015
60000,Q-LearningX,4.14785
70000,MC,O,-0.106148
70000,MC,X,3.95116
70000,Q-LearningO,7.19999
70000,Q-LearningX,8.16603
80000,MC,O,-0.00672767
80000,MC,X,3.79404
80000,Q-LearningO,6.81666
80000,Q-LearningX,8.12758
90000,MC,O,-0.870426
90000,MC,X,3.96816
90000,Q-LearningO,5.83487
90000,Q-LearningX,4.22595
100000,MC,O,0.0314014
100000,MC,X,3.32917
100000,Q-LearningO,5.87644
100000,Q-LearningX,8.47362
110000,MC,O,-0.749674
110000,MC,X,4.5221
110000,Q-LearningO,6.08172
110000,Q-LearningX,4.40048
200000,MC,O,0.414322
200000,MC,X,3.74164
200000,Q-LearningO,8.19733
200000,Q-LearningX,8.62305
300000,MC,O,-0.3591
